year,month,day,genesis,hyundai,kia,lexus,toyota,bmw,benz,,,,,,
2020,11,25,200.9576372,212.7656473,205.8878905,234.9474115,246.6333141,262.3736702,255.2917104,,,,,,
2020,12,1,199.8846232,212.2603929,205.4011273,234.9474115,246.6333141,262.5116808,255.5160851,,,,,,
2020,12,5,198.1333239,211.4265824,204.6020996,234.3387981,246.6333141,262.0281726,255.1281388,,,,,,
2020,12,10,196.3820246,210.5927719,203.8030719,233.7301847,246.6333141,261.5446644,254.7401926,,,,,,
2020,12,15,195.3741642,210.2648547,203.3873247,232.6107039,246.3391783,260.8151099,253.2820535,,,,,,
2020,12,20,193.6769321,209.4585043,202.5217077,231.4457876,246.0556322,260.2889437,253.2820535,,,,,,
2020,12,25,191.9797001,208.6521538,201.6560906,230.2808712,245.7720862,259.7627775,253.2820535,,,,,,
2021,1,1,191.0550657,208.202762,201.1414909,229.9315179,245.5962699,259.9584303,253.8817283,,,,,,
2021,1,5,189.6471636,207.3948301,200.2740144,228.5142163,245.2155839,259.3973414,253.8817283,,,,,,
2021,1,10,188.2392615,206.5868983,199.406538,227.0969146,244.8348979,258.8362525,253.8817283,,,,,,
2021,1,15,187.7343189,206.2674302,199.0135219,226.0782489,244.6887282,258.4377103,253.4118712,,,,,,
2021,1,20,186.6374216,205.4188451,198.1843255,224.3592792,244.1522021,257.483499,252.5405303,,,,,,
2021,1,25,185.5405242,204.5702599,197.3551291,222.6403095,243.6156761,256.5292878,251.6691893,,,,,,
2021,2,1,185.2983812,204.0131842,196.9108561,221.8813103,243.1209607,256.3866172,250.6410068,,,,,,
2021,2,5,184.1626768,203.1519045,196.1280324,219.919368,242.5329535,254.6262851,249.5250236,,,,,,
2021,2,10,183.0269724,202.2906247,195.3452086,217.9574257,241.9449464,252.8659529,248.4090404,,,,,,
2021,2,15,181.8414662,201.4025366,194.6213437,216.1230834,241.2121665,250.7684656,246.9630803,,,,,,
2021,2,20,180.9588996,201.1124463,194.2702068,214.5495677,241.2121665,248.6818382,246.9606142,,,,,,
2021,2,25,180.076333,200.822356,193.91907,212.9760521,241.2121665,246.5952107,246.958148,,,,,,
2021,3,1,180.2317578,200.822356,193.91907,212.0517897,241.3568146,245.3616608,246.9606142,,,,,,
2021,3,5,179.7498437,200.822356,193.91907,212.0517897,241.6272319,244.1931478,246.958148,,,,,,
2021,3,10,179.2679296,200.822356,193.91907,212.0517897,241.8976493,243.0246347,246.9556819,,,,,,
2021,3,15,178.5493292,200.9475404,193.9720105,212.0517897,241.962918,242.8392728,246.5162755,,,,,,
2021,3,20,178.5493292,202.0792387,194.9300107,213.026675,242.5642531,242.8392728,246.5162755,,,,,,
2021,3,25,178.5493292,203.2077935,195.8853498,214.0015603,243.1639179,242.8392728,246.5162755,,,,,,
2021,4,1,178.6312556,204.1302227,196.7289444,217.3301317,243.5333876,242.9657946,246.5388597,,,,,,
2021,4,5,179.9179342,206.4729888,198.7024182,220.9846664,244.6297317,243.5314802,246.9812134,,,,,,
2021,4,10,181.2081968,208.8222807,200.6813892,224.6493808,245.7291297,244.0987414,247.4247993,,,,,,
2021,4,15,182.0815924,210.304443,201.8426076,226.6549862,245.8896757,243.9168957,247.576,,,,,,
2021,4,20,184.9916822,213.8093838,204.8111227,231.3247976,248.0536084,245.6716397,248.7311247,,,,,,
2021,4,25,187.9017719,217.3143247,207.7796378,235.9946091,250.217541,247.4263837,249.8862494,,,,,,
2021,5,1,190.6300367,219.080447,209.4690172,238.8596067,251.4931817,249.1923345,250.390266,,,,,,
2021,5,5,194.468383,223.9976932,213.5449939,244.3337234,255.4493949,252.3052002,252.7568368,,,,,,
2021,5,10,198.3067292,228.9149395,217.6209705,249.8078402,259.405608,255.4180659,255.1234077,,,,,,
2021,5,15,199.9656938,232.405936,220.4170563,252.5972689,262.7288585,257.328136,257.0175525,,,,,,
2021,5,20,204.1834133,238.3956151,225.1910061,258.6953815,267.8346741,261.2359684,260.563979,,,,,,
2021,5,25,208.4011329,244.3852941,229.9649559,264.793494,272.9404898,265.1438007,264.1104054,,,,,,
2021,6,1,210.9392806,248.1285816,232.6744123,268.6011832,275.9832525,267.5091355,266.7274919,,,,,,
2021,6,5,215.5569808,253.9460884,237.4147429,274.8242861,280.9784733,271.8443621,270.488969,,,,,,
2021,6,10,220.174681,259.7635953,242.1550736,281.047389,285.9736941,276.1795887,274.250446,,,,,,
2021,6,15,222.8145709,262.5546583,244.2724324,284.3337696,288.2787537,278.6010502,276.244477,,,,,,
2021,6,20,227.2719143,267.4831495,248.8926592,289.8108959,292.8107782,282.9121014,279.3713642,,,,,,
2021,6,25,231.7292577,272.4116406,253.512886,295.2880222,297.3428027,287.2231526,282.4982513,,,,,,
2021,7,1,234.3379614,274.6640657,256.9285821,298.1187639,299.7444273,289.8857684,283.7689682,,,,,,
2021,7,5,237.8436977,278.5885443,260.5158769,302.2099175,303.6385959,293.399618,286.1234047,,,,,,
2021,7,10,241.3494341,282.513023,264.1031716,306.3010711,307.5327644,296.9134677,288.4778412,,,,,,
2021,7,15,242.5723994,284.2399199,264.6229141,307.3223932,309.3565922,298.1313679,289.3804646,,,,,,
2021,7,20,244.8005961,287.1055427,266.8291331,310.2666639,312.2816209,300.4813495,291.1435466,,,,,,
2021,7,25,247.0287928,289.9711654,269.0353521,313.2109346,315.2066497,302.831331,292.9066286,,,,,,
2021,8,1,247.4528119,291.0998556,270.0545,314.9761294,316.305479,303.664862,293.1246549,,,,,,
2021,8,5,248.9846813,292.9166582,271.5469719,316.9312709,318.2637397,305.1495257,294.9388148,,,,,,
2021,8,10,250.5165508,294.7334609,273.0394439,318.8864124,320.2220003,306.6341894,296.7529747,,,,,,
2021,8,15,250.8784459,295.1293637,273.2441141,319.2555166,320.7390306,306.784467,297.7283817,,,,,,
2021,8,20,252.4599434,296.189556,274.2914927,320.0423715,322.0729242,307.9046679,300.2143459,,,,,,
2021,8,25,254.041441,297.2497483,275.3388713,320.8292264,323.4068178,309.0248689,302.7003101,,,,,,
2021,9,1,256.1888091,297.2980185,275.7449692,320.2079753,323.6522203,309.4920128,304.5305608,,,,,,
2021,9,5,256.8921691,298.2176198,276.783865,320.8655453,324.9332078,310.7505305,307.3686357,,,,,,
2021,9,10,257.5955292,299.137221,277.8227608,321.5231153,326.2141954,312.0090481,310.2067107,,,,,,
2021,9,15,257.2407521,299.4647576,278.1042941,322.3014603,326.9829384,313.0336605,311.7732345,,,,,,
2021,9,20,257.5955292,300.7875621,279.4859717,323.3302216,328.477862,314.1972562,314.4047205,,,,,,
2021,9,25,257.9503063,302.1103666,280.8676494,324.3589829,329.9727855,315.3608518,317.0362066,,,,,,
2021,10,1,257.8215623,302.9631563,281.7397149,324.7217448,330.7763186,315.1861408,318.3768864,,,,,,
2021,10,5,258.6660548,304.8316424,283.6922532,326.0093517,332.4078255,316.5685089,320.5260661,,,,,,
2021,10,10,259.5105473,306.7001285,285.6447915,327.2969585,334.0393325,317.9508769,322.6752457,,,,,,
2021,10,15,259.674754,307.9885423,286.8348791,329.7682559,334.7614858,318.8883633,323.0195196,,,,,,
2021,10,20,261.8179917,310.1299928,289.2486633,329.7682559,336.6353969,321.1090965,325.150619,,,,,,
2021,10,25,263.9612295,312.2714433,291.6624475,329.7682559,338.5093079,323.3298297,327.2817185,,,,,,
2021,11,1,266.500351,313.3512608,293.3318222,325.4626648,339.6749903,325.1830574,328.896418,,,,,,
2021,11,5,269.3822435,315.5388949,295.7611741,325.4626648,341.7773809,327.672175,331.1815632,,,,,,
2021,11,10,272.264136,317.7265291,298.1905259,325.4626648,343.8797716,330.1612927,333.4667083,,,,,,
2021,11,15,273.0219453,318.7975206,299.0546845,327.0026656,344.9106773,331.2103287,334.0874496,,,,,,
2021,11,20,276.2274542,321.0681634,301.3954226,330.2472728,347.14735,333.5546848,336.576345,,,,,,
2021,11,25,279.4418673,323.3451136,303.7426627,333.5008928,349.3902357,335.905553,339.0721539,,,,,,
2021,12,1,282.494219,324.8695642,305.2283034,336.5605321,351.3668394,337.4654896,341.1387813,,,,,,
2021,12,5,285.4320483,326.9078774,307.4811196,341.7082328,352.9762767,339.4102357,343.6433238,,,,,,
2021,12,10,288.3617396,328.9405442,309.7276953,346.8416739,354.5812559,341.3495947,346.1409286,,,,,,
2021,12,15,287.1928422,328.4030325,309.6935889,349.4265304,353.0234757,340.5730021,346.0004966,,,,,,
2021,12,20,290.8962559,331.2456134,312.6439022,355.9501271,355.1833913,343.2649476,349.0817131,,,,,,
2021,12,25,294.5996696,334.0881944,315.5942156,362.4737239,357.3433069,345.9568932,352.1629297,,,,,,
2022,1,1,299.4975115,337.9318147,319.1118424,371.5739027,361.3820956,349.7655206,355.4974351,,,,,,
2022,1,5,303.9491167,341.1207819,322.2326864,374.3262167,363.7758547,352.8699636,359.0494065,,,,,,
2022,1,10,308.400722,344.3097492,325.3535304,377.0785307,366.1696137,355.9744066,362.6013778,,,,,,
2022,1,15,310.3543087,344.9823319,326.2305811,377.0785307,366.0329579,356.7337794,364.382163,,,,,,
2022,1,20,313.154282,347.1904497,328.2481223,377.0785307,367.1521867,358.7871627,366.8415698,,,,,,
2022,1,25,315.9542552,349.3985675,330.2656634,377.0785307,368.2714154,360.8405461,369.3009766,,,,,,
2022,2,1,315.9933293,350.2782097,330.8969638,376.7680076,369.2963415,363.1090779,369.9164724,,,,,,
2022,2,5,317.948983,352.1613709,332.3203923,376.7680076,369.3719985,363.1368803,371.3464404,,,,,,
2022,2,10,319.9046367,354.0445322,333.7438208,376.7680076,369.4476556,363.1646828,372.7764084,,,,,,
2022,2,15,321.1847691,355.0518407,334.1456198,378.3834475,369.4476556,363.1368803,372.9780501,,,,,,
2022,2,20,322.9325504,356.606256,335.3652647,378.3834475,369.4476556,363.1646828,373.9914099,,,,,,
2022,2,25,324.6803316,358.1606712,336.5849097,378.3834475,369.4476556,363.1924853,375.0047696,,,,,,
2022,3,1,325.5450198,358.865274,337.2735584,378.3834475,368.8078102,363.6943642,375.4338151,,,,,,
2022,3,5,326.6878893,359.9334474,338.418617,378.3661488,368.383025,363.9135085,376.4132391,,,,,,
2022,3,10,327.8307587,361.0016208,339.5636756,378.3488501,367.9582399,364.1326528,377.3926631,,,,,,
2022,3,15,327.8803642,361.947123,340.8414965,378.3661488,367.9867247,364.2604043,378.8885297,,,,,,
2022,3,20,328.6468976,361.947123,341.0905576,377.7146307,367.3237298,364.2604043,378.8885297,,,,,,
2022,3,25,329.4113018,361.947123,341.3396188,377.0631126,366.6625765,364.2604043,378.8885297,,,,,,
2022,4,1,329.4560686,361.6838109,341.0905576,366.7430251,365.474922,362.2611347,377.0935558,,,,,,
2022,4,5,330.5152333,361.6838109,341.3396188,341.0556548,365.0726544,362.2611347,377.0935558,,,,,,
2022,4,10,331.5773483,361.6838109,341.5886799,315.296732,364.6703868,362.2611347,377.0935558,,,,,,
2022,4,15,332.5919705,361.6838109,341.7009096,269.9233137,364.6703868,362.2611347,377.0935558,,,,,,
2022,4,20,333.9500969,362.6123871,342.9179519,249.098898,364.6703868,363.085533,377.8165299,,,,,,
2022,4,25,335.3082233,363.5409633,344.1349942,228.2744822,364.6703868,363.9099314,378.5395041,,,,,,
2022,5,1,336.1241623,367.4972999,346.1812921,231.2512452,366.6892266,366.948192,381.8312638,,,,,,
2022,5,5,337.3058653,368.2418041,347.4248303,228.2744822,367.4924721,367.3505862,382.3909047,,,,,,
2022,5,10,338.4875684,368.9863083,348.6683685,225.2977192,368.2957176,367.7529805,382.9505456,,,,,,
2022,5,15,338.7597987,368.7293561,348.676123,226.2653967,368.6866142,367.4193327,382.9505456,,,,,,
2022,5,20,339.8586121,368.9863083,349.1356428,225.2977192,368.6866142,367.7529805,382.9505456,,,,,,
2022,5,25,340.9574255,369.2432606,349.5951626,224.3300418,368.6866142,368.0866282,382.9505456,,,,,,
2022,6,1,341.9053721,369.3836988,349.5273236,224.2958289,368.6792658,368.5698496,382.9505456,,,,,,
2022,6,5,342.7999324,369.5265655,349.7224293,223.436095,368.466369,369.0188252,382.5188153,,,,,,
2022,6,10,343.6944927,369.6694323,349.9175351,222.5763611,368.2534722,369.4678008,382.087085,,,,,,
2022,6,15,343.4682391,369.5265655,349.9070972,221.7979432,367.6221301,369.5153698,380.7109512,,,,,,
2022,6,20,344.3314136,369.7006419,350.1111714,220.9990497,367.6221301,369.9978583,379.7621826,,,,,,
2022,6,25,345.1945882,369.8747183,350.3152456,220.2001562,367.6221301,370.4803469,378.813414,,,,,,
2022,7,1,346.1384038,370.2695786,350.4002568,219.4416274,367.6221301,371.431268,378.2495203,,,,,,
2022,7,5,347.1158051,370.767041,350.7428003,219.4416274,367.8738617,371.431268,377.7749722,,,,,,
2022,7,10,348.0932064,371.2645033,351.0853437,219.4416274,368.1255933,371.431268,377.3004242,,,,,,
2022,7,15,347.7090915,371.3618709,350.9530877,219.4416274,369.1518716,371.2204104,377.5181033,,,,,,
2022,7,20,349.2184202,372.1879537,351.8238887,219.9493718,370.2746144,371.2204104,377.3004242,,,,,,
2022,7,25,350.7277488,373.0140365,352.6946898,220.4571162,371.3973572,371.2204104,377.0827451,,,,,,
2022,8,1,352.8875781,374.1747063,354.0241959,222.1916326,372.4600911,372.7388986,377.0875122,,,,,,
2022,8,5,354.6624485,374.897455,355.0968056,222.1916326,373.4875757,372.7388986,376.6865767,,,,,,
2022,8,10,356.4373189,375.6202037,356.1694154,222.1916326,374.5150602,372.7388986,376.2856412,,,,,,
2022,8,15,357.1356504,375.8016972,356.8704204,221.5721414,374.9322545,372.5905763,375.9578613,,,,,,
2022,8,20,358.0927721,375.8016972,357.1869375,221.1678808,375.4120372,372.1105257,375.2957467,,,,,,
2022,8,25,359.0498939,375.8016972,357.5034546,220.7636202,375.8918198,371.6304751,374.6336321,,,,,,
2022,9,1,359.4480573,375.5842416,357.5034546,220.6840107,375.836652,371.0817566,374.4850477,,,,,,
2022,9,5,359.4480573,375.5842416,357.5034546,220.1703299,375.8918198,370.3386457,373.3760038,,,,,,
2022,9,10,359.4480573,375.5842416,357.5034546,219.6566491,375.9469876,369.5955349,372.26696,,,,,,
2022,9,15,358.4473201,375.854175,357.024611,219.5151476,375.9344932,369.1174385,370.7887083,,,,,,
2022,9,20,357.9171688,376.3156511,357.024611,218.5994769,375.9469876,368.3949715,369.7505276,,,,,,
2022,9,25,357.3870175,376.7771272,357.024611,217.6838061,375.9594821,367.6725045,368.7123469,,,,,,
2022,10,1,357.4600411,377.8916221,357.6198229,217.1404365,375.9594821,367.2935832,368.8505511,,,,,,
2022,10,5,356.7973009,377.8916221,357.6198229,215.5919763,375.9594821,366.7263107,368.1851004,,,,,,
2022,10,10,356.1345607,377.8916221,357.6198229,214.0435162,375.9594821,366.1590383,367.5196498,,,,,,
2022,10,15,355.6805913,377.8434655,356.9006359,213.0011112,375.354923,366.5258486,367.6258791,,,,,,
2022,10,20,354.6034679,376.9546732,355.7392335,210.857176,373.9539654,365.5586093,366.4232743,,,,,,
2022,10,25,353.5263444,376.0658809,354.5778311,208.7132408,372.5530078,364.59137,365.2206695,,,,,,
